run_timestamp,status,events_processed,events_escalated,error_message,duration_seconds
2026-03-26T19:08:56.634493+00:00,success,1093,277,,0
2026-03-26T20:01:01.501462+00:00,success,1096,273,,0
2026-03-26T21:30:11.299808+00:00,success,1096,273,,0
